Date,Open,High,Low,Close,Volume,Market Cap
8/13/2018,11.77,11.95,10.18,10.23,34827100,976921189
8/12/2018,11.69,11.86,11.5,11.74,23290300,1121488944
8/11/2018,12.11,12.16,11.37,11.74,29253100,1120992279
8/10/2018,12.77,12.82,11.81,12.13,37026400,1158643315
8/9/2018,12.16,12.87,12.1,12.86,41389000,1228100022
8/8/2018,13.13,13.14,11.98,12.14,44898500,1159875427
8/7/2018,13.66,13.91,13.13,13.15,45119500,1255617180
8/6/2018,13.69,13.98,13.5,13.7,46799600,1308435605
8/5/2018,13.86,13.9,13.29,13.62,43000300,1301186205
8/4/2018,14.11,14.46,13.57,13.84,60865200,1322122550
8/3/2018,14.09,14.21,13.64,14.13,70449300,1350031309
8/2/2018,13.63,14.18,13.41,14.18,50481200,1354071489
8/1/2018,13.77,14.06,13.23,13.57,53833700,1296477437
7/31/2018,13.21,14.06,13.04,13.78,66537000,1315723211
7/30/2018,13.95,13.95,13.07,13.22,35991600,1262379467
7/29/2018,14.6,14.7,13.66,14.02,56547100,1339200189
7/28/2018,14.03,14.87,13.72,14.6,75159904,1394645209
7/27/2018,13.39,14.03,13.06,13.92,66040700,1329792206
7/26/2018,12.92,13.55,12.91,13.4,61881400,1279609926
7/25/2018,12.09,13.47,12.08,12.94,72083200,1235874742
7/24/2018,12.02,12.25,11.65,12.15,46762700,1160009144
7/23/2018,12.14,12.34,11.91,12.02,28137700,1148050977
7/22/2018,12.19,12.27,11.96,12.12,20692400,1157602229
7/21/2018,12.07,12.46,11.9,12.19,28726700,1163848748
7/20/2018,12.92,12.97,11.89,12.07,40466000,1152922115
7/19/2018,12.83,13.35,12.77,12.92,49364800,1233830774
7/18/2018,13.74,13.86,12.72,12.86,75446304,1228749507
7/17/2018,13.36,13.89,12.87,13.71,74443200,1563825403
7/16/2018,12.31,13.39,12.2,13.24,47198600,1509598770
7/15/2018,12.09,12.4,12.02,12.29,26346900,1401464818
7/14/2018,12.19,12.27,11.97,12.1,21534200,1379500466
7/13/2018,12.09,12.43,12.04,12.18,29709900,1389034318
7/12/2018,12.69,12.77,11.9,12.07,26008100,1376546796
7/11/2018,12.82,12.89,12.25,12.7,38867700,1448883187
7/10/2018,13.61,13.66,12.67,12.76,36507100,1455315115
7/9/2018,14.04,14.09,13.63,13.66,36874000,1558317209
7/8/2018,14.4,14.42,13.93,13.99,60275400,1595654327
7/7/2018,13.54,14.4,13.43,14.4,79974896,1642741976
7/6/2018,13.98,13.99,13.28,13.53,33466000,1542933039
7/5/2018,14.04,14.14,13.65,13.85,41185300,1579528889
